PHOBIAS,RELATED WORDS
Mageirocophobia,"fervor,give_the_axe,give_the_sack,intellectual_nourishment,make,send_away,flak,prepare,burn_down,flaming,ardor,kindle,open_fire,enkindle,wangle,flack,dismiss,kitchen,fudge,go_off,food,blast,firing,fake,knife,discharge,terminate,fuel,evoke,cook,fix,fervency,raise,misrepresent,give_notice,food_for_thought,fervour,ready,manipulate,force_out,tongue,attack,nutrient,displace,cookery,arouse,sack,elicit,fire,burn,can,provoke,solid_food,knives,preparation,ardour,cooking,fervidness,flame,falsify"
Megalophobia,"bombastic,tumid,buildings,giant,heavy,statues,construction,make,heavyweight,prominent,gravid,titan,aim,objective,building,work_up,objects,magnanimous,with_child,establish,vauntingly,physical_object,colossus,build,great,declamatory,expectant,build_up,target,goliath,giants,giant_star,behemoth,edifice,big,turgid,orotund,object,hulk,statue,progress,construct,enceinte,large,monster,boastfully,whale,ramp_up"
Melanophobia,"total_darkness,blackness,nox,unknown,swarthiness,vestige,joseph_black,shadow,tail,unnamed,bootleg,lightlessness,bleak,overshadow,melanize,shirley_temple_black,terra_incognita,melanise,mordant,wickedness,disgraceful,obscure,smutty,fatal,negro,opprobrious,nighttime,inglorious,phantom,shameful,dwarf,unknown_quantity,unsung,iniquity,shade,shadows,nameless,dim,nigrify,apparition,night,duskiness,grim,shadower,alien,black,pitch_blackness,contraband,ignominious,disastrous,shirley_temple,blackamoor,black-market,fantasm,phantasm,smuggled,blacken,tincture,stranger,inkiness,pitch-black,trace,phantasma,dark,fateful,darkness,shade_off,unknown_region,calamitous,strange,blackened,sinister,pitch-dark,negroid,unidentified,black_person"
Microphobia,"small-scale,particles,mote,corpuscle,speck,minuscule,lilliputian,minor,particle,little,diminutive,modest,belittled,humble,pocket-size,lupus_erythematosus,bantam,small,le,lowly,midget,tiny,molecule,pocket-sized,subatomic_particle,atom,low,to_a_lesser_extent,diminished,less,flyspeck,petite"
Mysophobia,"scandal,taint,pollution,shit,poop,ungraded,unwellness,crap,grime,turd,source,filth,germs,malicious_gossip,sickness,bug,illness,stain,grunge,grease,germ,dirt,contaminant,seed,microbe,shite,contamination,malady,soil"
Necrophobia,"corpse,destruction,casket,death,coffins,underframe,skeleton_in_the_closet,demise,skeletal_system,army_corps,grave,corpses,remains,engrave,funerals,dying,decease,corps,inscribe,stephanie_graf,cadaver,systema_skeletale,end,steffi_graf,skeletal_frame,skeletons,graves,skeleton,robert_graves,coffin,graf,scratch,sculpture,funeral,expiry,skeleton_in_the_cupboard,grave_accent,last,robert_ranke_graves,stiff,sculpt,tomb,frame,clay"
Noctiphobia,"nox,wickedness,night,duskiness,swarthiness,dark,darkness,shadow,iniquity,nighttime"
Nomophobia,"tedium,communication,ennui,disjuncture,disconnect,disconnection,technology,cellphones,gulf,engineering,disconnectedness,mobile_phone,boredom,engineering_science,applied_science,cellular_phone,cellphone,cell,communicating,disjunction,cellular_telephone"
Nosocomephobia,"pain_in_the_ass,disease,pain_sensation,botheration,infliction,unwellness,anguish,pain,pain_in_the_neck,bother,ail,hurting,hospitals,nausea,sickness,trouble,illness,painfulness,hurt,nuisance,painful_sensation,infirmary,malady,annoyance,hospital"
Nyctophobia,"total_darkness,blackness,nox,vestige,tail,shadow,lightlessness,overshadow,dwarf,phantom,shade,shadows,apparition,night,shadower,black,pitch_blackness,tincture,fantasm,phantasm,inkiness,trace,phantasma,dark,darkness,shade_off,nighttime"
Obesophobia,"overweight,adipose_tissue,rich,fleshiness,free_weight,stoutness,heavy,flesh_out,weighting,weightiness,fat,burden,productive,fatten_out,plump_out,corpulence,corpulency,burthen,obesity,fatness,weight,fatten,fill_out,juicy,plump,slant,fatty_tissue,avoirdupois,fatty,fleshy,blubber,system_of_weights,fatten_up,adiposis,fertile,exercising_weight,angle,weight_down,weight_unit"
Octophobia,"octopus,octonary,viii,eight,infinity,eighter_from_decatur,eight-spot,devilfish,8,octad,ogdoad,ashcan_school,octet,eternity,eighter"
Ombrophobia,"oversupply,water_system,rising_tide,rainwater,blind_drunk,alluvion,floods,pee,flood,torrent,urine,fuddled,loaded,deluge,overflow,swamp,flood_lamp,glut,piss,cockeyed,rain_down,squiffy,wet,sozzled,weewee,electric_storm,besotted,floodlight,tight,moisture,outpouring,soused,blotto,water_supply,thunderstorm,slopped,h2o,electrical_storm,body_of_water,piddle,inundate,crocked,inundation,irrigate,photoflood,flowage,sloshed,rainfall,pelting,smashed,soaked,flood_tide,pissed,rain,lactating,stiff,plastered,pixilated,pie-eyed,thunderstorms,water"
Ophidiophobia,"hand-build,turbinate,venomous,slither,slide,hydra,gyrate,snake_in_the_grass,helical,whorled,creature,slipping,snake_river,animal,reptilian,animals,spiraling,snakes,voluted,virulent,slithering,coiling,reptiles,curl,deadly,ophidian,loop,serpent,brute,handbuild,volute,beast,animate_being,fauna,coil,poisonous,spiral,snake,reptile,vicious"
Ornithophobia,"claws,muckle,pincer,wing,birds,flee,pick_at,shuttlecock,raspberry,pick,shuttle,hiss,good_deal,cluster,nag,pot,vanish,great_deal,escape,flying,hoot,fold,razzing,constellate,birdie,razz,quick,hen-peck,passel,flight_of_stairs,flocks,quite_a_little,hook,nipper,plenty,fledge,chela,brute,bronx_cheer,smack,fauna,pilot,mickle,aviate,tidy_sum,clump,fast,pile,fell,claw,creature,snort,boo,animal,dame,wench,heap,skirt,peck_at,flock,trajectory,doll,troop,animate_being,take_flight,mess,mass,mountain,deal,birdwatch,mint,pecking,sight,batch,pick_up,flight_of_steps,animals,bird,fly,lot,fast-flying,raft,fowl,peck,hatful,vaporize,beast,wad,beak,chick,flight,stack,slew,spate"
Osmophobia,"aroma,bouquet,smell,perfume,redolence,sweetness,fragrances,olfactory_perception,smell_out,spirit,reek,olfactory_sensation,scents,flavor,feeling,fragrance,scent,odourise,odor,smelling,smells,tone,fragrancy,look,odour,sense_of_smell,olfactory_modality,odors,feel,olfaction,smack,flavour,wind,olfactory_property,odorize,sense,nose"
Ostraconophobia,"pelf,pubic_louse,bitch,gelt,bellyache,lobster,pisces,boodle,lobsters,cabbage,buck,dollar,moolah,sugar,dough,lucre,crab,simoleons,crabby_person,holler,lettuce,phthirius_pubis,wampum,mollusc,one_dollar_bill,squawk,kale,shekels,dollar_bill,crabmeat,crab_louse,seafood,beef,lolly,clams,loot,cancer,dinero,grouse,scratch,fish,clam,cancer_the_crab,gripe,pisces_the_fishes,crabs,pediculosis_pubis,mollusk,bread,shellfish,angle"
Papyrophobia,"record,banker's_bill,document,invoice,eyeshade,spell,composition,note,broadsheet,write,committal_to_writing,drop_a_line,good_book,paper,foliate,varlet,exams,record_book,save,script,publish,visor,word_of_god,flier,word,writing,book,holy_scripture,bank_bill,leger,bible,banknote,paginate,koran,rule_book,al-qur'an,authorship,pecker,vizor,exam,report,poster,flyer,broadside,neb,test,holy_writ,scripture,reserve,piece_of_writing,nib,pen,card,bank_note,measure,volume,book_of_account,account,charge,newspaper,billhook,federal_reserve_note,compose,indite,pageboy,circular,written_material,bill,notice,page,placard,text_file,newspaper_publisher,christian_bible,handbill,greenback,account_book,bills,hold,quran,playscript,written_document,ledger,thomas_nelson_page,wallpaper,papers,throwaway,posting,penning,examination,sir_frederick_handley_page,beak,peak,theme,government_note"
Pathophobia,"medicinal_drug,furbish_up,medical_specialty,doctor_of_the_church,medicine,bushel,doctors,md,unwellness,physician,clinic,restore,repair,medico,practice_of_medicine,music,wellness,health,medicament,fix,hospitals,sophisticate,sickness,nausea,symptom,illness,dr.,medication,touch_on,medicate,symptoms,mend,infirmary,doctor,malady,doctor_up,hospital,doc,therapy"
Pedophobia,"toy_dog,child,fry,dolls,minor,baby,nestling,flirt,dally,miniature,toys,play,kid,fiddle,plaything,dame,shaver,tike,bird,youngster,nipper,wench,toy,skirt,tyke,tiddler,doll,diddle,chick,children,small_fry,dolly"
Philematophobia,"buss,fuck,trust,kiss,sleep_together,hump,candy_kiss,honey,know,jazz,involvement,affair,love,get_laid,religious_belief,osculation,dearest,warmness,tenderness,sleep_with,bed,fondness,amour,bonk,sexual_love,religion,have_it_away,friendship,familiarity,have_a_go_at_it,enjoy,warmheartedness,dear,roll_in_the_hay,erotic_love,screw,bang,affaire,making_love,have_it_off,heart,philia,snog,love_life,affectionateness,be_intimate,beloved,liaison,faith,have_intercourse,lie_with,osculate,friendly_relationship,have_sex,affection,do_it,passion,make_love,eff,get_it_on,intimacy,make_out,lovemaking,closeness,organized_religion"
Philophobia,"rage,fuck,want,trust,sleep_together,relationship,know,honey,jazz,hump,kinship,love,get_laid,religious_belief,dearest,warmness,tenderness,sleep_with,bed,fondness,bonk,sexual_love,mania,religion,have_it_away,friendship,human_relationship,have_a_go_at_it,enjoy,passion_of_christ,dear,cacoethes,roll_in_the_hay,warmheartedness,erotic_love,screw,bang,making_love,have_it_off,heart,warmth,philia,love_life,affectionateness,be_intimate,beloved,faith,have_intercourse,family_relationship,lie_with,hope,have_sex,friendly_relationship,affection,do_it,passionateness,passion,make_love,eff,get_it_on,heat,lovemaking,make_out,desire,organized_religion"
Phobophobia,"phobic_neurosis,phobias,phobia,phobic_disorder"
Podophobia,"lonesome,base,groundwork,heel,dog,cad,smash,foot,articulatio_genus,animal_foot,pass_with_flying_colors,complete,nail,foundation,breeze_through,sail_through,blackguard,peg,collar,solitary,resole,bounder,blast,pick_up,pinpoint,stifle,ft,hound,foot_up,sweep_through,boom,toenail,toe,understructure,invertebrate_foot,pick,human_foot,infantry,lone,ace,knee_joint,nail_down,knee,hoof,arrest,reheel,metrical_unit,pes,sole,fundament,human_knee,cop,only,leg_it,apprehend,fillet_of_sole,exclusive,metrical_foot,list,substructure,hoof_it,genu,nab"
Porphyrophobia,"mourning,lamentation,colourize,colourise,discolor,sorrowing,vividness,emblazon,coloring_material,over-embellished,discolour,bereaved,colour_in,violet,coloration,distort,people_of_colour,grieving,colouration,bereft,regal,purpleness,royal_line,imperial,colour,purple,purplish,color_in,people_of_color,colorise,empurpled,colouring,tinge,purpurate,royalty,colorize,grief-stricken,gloss,royal,empurple,colouring_material,coloring,color,semblance,royal_house,bereavement,majestic,mourn,royal_family"
Pteridophobia,"institute,verdure,fern,spores,constitute,works,plant_life,flora,industrial_plant,plant,establish,ferns,implant,imbed,greenery,embed,spore,set,plants,found,engraft"
Pteromerhanophobia,"sully,hoot,sky,clouds,plane,birdwatch,flip,obnubilate,razzing,befog,taint,becloud,fast,birdie,toss,wing,fell,obscure,annex,mottle,razz,snort,boo,quick,flight_of_steps,flee,flank,flight_of_stairs,dapple,backstage,overcast,corrupt,shuttlecock,dame,raspberry,pitch,bird,airplane,fly,fast-flying,wench,shuttle,hiss,skirt,trajectory,mist,offstage,fowl,cloud,fender,fledge,swarm,fog,doll,vanish,vaporize,bronx_cheer,haze_over,flight,defile,chick,pilot,escape,take_flight,annexe,aviate,extension,aeroplane,flying"
Pyrophobia,"weed,send_away,flak,open_fire,ignite,skunk,hummer,go_off,blast,firing,discharge,terminate,heat_up,fuel,fastball,force_out,attack,pot,bullet,sack,fire,provoke,hotness,hot_up,grass,ardour,fervidness,fervor,inflame,flaming,sens,dismiss,flare,evoke,heating_system,fervency,estrus,displace,high_temperature,gage,heater,elicit,can,passion,heat,give_the_axe,dope,oestrus,enkindle,sess,heating_plant,warmth,raise,mary_jane,green_goddess,stir_up,arouse,burn,flack,give_the_sack,rut,burn_down,ardor,kindle,roll_of_tobacco,heating,fire_up,flames,wake,give_notice,fervour,fume,heat_energy,smoking,locoweed,smoke,flame"
Samhainophobia,"samhain,frame,spectre,disguise,dissemble,smell,underframe,ghosts,disembodied_spirit,skeleton_in_the_closet,skeletal_system,spirit_up,sprightliness,spirit,costume,john_barleycorn,block_out,cloak,strong_drink,masque,flavor,feeling,masquerade,ghostwrite,masquerade_party,hard_drink,mask,shade,hard_liquor,hallowe'en,liquor,ghost,haunt,dress_up,allhallows_eve,spook,heart,obsess,tone,emotional_state,systema_skeletale,spirits,look,skeletal_frame,purport,skeletons,skeleton,halloween,liveliness,life,masks,skeleton_in_the_cupboard,touch,trace,booze,feel,costumes,specter,flavour,ghostwriter,intent,inspirit,wraith"
Scolionophobia,"instruction,hear,breeding,duty_assignment,prove,quiz,examen,get_wind,encyclopaedism,screen,appraisal,teaching,learnedness,assessment,acquire,naming,determine,try_out,cultivate,schoolhouse,educational_activity,judgment,check,train,take,watch,interrogatory,trial_run,shoal,interrogation,get_a_line,ascertain,learn,schoolroom,didactics,bookman,civilize,training,instruct,scrutiny,testing,exam,mental_test,department_of_education,run,designation,assignment,test,teach,larn,discover,read,educatee,judgement,schooling,educate,homework,preparation,mental_testing,teacher,memorize,get_word,find_out,education_department,student,scholar,education,try,essay,instructor,school,scholarly_person,trial,school_day,see,teachers,appointment,pedagogy,encyclopedism,classroom,pupil,psychometric_test,memorise,learning,schooltime,scholarship,pick_up,assigning,con,civilise,acquisition,prep,eruditeness,examination,tryout,study,examine,grant,erudition"
Scoptophobia,"attaint,disgrace,shame,eye,attention,pity,regard,oculus,center,tending,eyes,aid,heart,dishonour,attending,optic,centre,care,stare,ignominy,dishonor,gaze,middle,eyeball"
Selenophobia,"nox,sky,swarthiness,lunar_month,outer_space,flip,shadow,blank,moon_around,moonshine,space,moonlight,quad,toss,wickedness,distance,lunation,daydream,sun_myung_moon,iniquity,place,pitch,night,lunar,duskiness,synodic_month,moon,moon_on,dark,darkness,infinite,nighttime,blank_space"
Sociophobia,"mass,parties,company,social_club,relationship,interact,kinship,bunch,fellowship,citizenry,socialization,the_great_unwashed,herd,people,gang,relationships,socialising,human_relationship,lodge,interacting,multitude,companionship,society,high_society,crowd_together,political_party,party,gild,crowd,beau_monde,club,push,hoi_polloi,socializing,family_relationship,socialisation,crowds,socialise,crew,order,masses,bon_ton,smart_set,guild,socialize"
Somniphobia,"aspiration,rest,sopor,pipe_dream,eternal_rest,take_a_breather,unstrain,unlax,swarthiness,relaxation,slow_down,shadow,nightmares,repose,roost,loosen_up,eternal_sleep,log_z's,incubus,dreaming,pillow,unwind,wickedness,remain,reside,quietus,balance,residuum,nightmare,insomnia,loosen,daydream,iniquity,breathe,perch,ease,loose,duskiness,remainder,sleep,stay,decompress,nap,kip,catch_one's_breath,rest_period,ambition,residue,dreams,stargaze,make_relaxed,relief,residual,slack,catch_some_z's,slacken,dream,slumber,lie,dark,respite,darkness,woolgather,relax,slack_up,unbend"
Tachophobia,"profligate,race,motion,quicken,degenerate,focal_ratio,stop_number,fast,swiftness,hurry,debauched,firm,campaign,drive,immobile,move,dissolute,effort,travel_rapidly,speeding,hie,social_movement,quick,speed,fasting,apparent_motion,speedup,hasten,velocity,upper,amphetamine,acceleration,pep_pill,racing,speed_up,dissipated,rush,tight,front,run,fastness,cause,hurrying,drift,quickening,f_number,motility,libertine,riotous,trend,apparent_movement,step_on_it,pelt_along,bm,belt_along,bucket_along,hotfoot,truehearted,cannonball_along,degraded,loyal,accelerate,movement,zip,rush_along,bowel_movement,crusade,flying"
Technophobia,"computing_machine,calculator,design,machine,technology,foundation,institution,political_machine,excogitation,golem,automobile,creation,founding,conception,engineering,automation,mechanization,computer,motorcar,innovation,engineering_science,car,instauration,robots,computing_device,automaton,origination,data_processor,applied_science,computers,electronic_computer,machines,robot,simple_machine,auto,information_processing_system,introduction,reckoner,mechanisation,figurer,estimator,invention,initiation"
Thalassophobia,"water_system,maritime,leatherneck,waving,pee,surge,wave,wafture,waves,flap,beckon,brandish,flourish,urine,devil_dog,piss,shipboard_soldier,tides,weewee,sea,marine,water_supply,h2o,body_of_water,piddle,curl,tide,nautical,irrigate,ocean,undulate,lunar_time_period,roll,moving_ridge,undulation,water"
Trichophobia,"wig,pelt,hirsute,visual_aspect,appearance,wigging,appearing,show,hairy,coming_into_court,hiar,wigs,fur,haired"
Tonitrophobia,"sully,rage,thunder,ramp,weather,clouds,upwind,surprise,obnubilate,atmospheric_condition,befog,taint,becloud,brave,obscure,mottle,force,skag,nose_drops,endure,tempest,dapple,boom,big_h,hell_dust,storm,storms,overcast,corrupt,roar,violent_storm,scag,brave_out,mist,cloud,swarm,fog,smack,haze_over,defile,lightning,conditions,roaring,weather_condition"
Trypanophobia,"injectant,injection,vaccination,needle,goad,acerate_leaf,syringe,shot,needles,inoculation,phonograph_needle"
Trypophobia,"normal,hollow,pattern,patterns,honeycomb,muddle,trap,formula,clump,design,babble,bubbles,spores,bunch,hole,constellate,bundle,radiation_pattern,eruct,gob,belch,ripple,clusters,maw,model,golf_hole,radiation_diagram,clustering,bubble,house_of_cards,bunch_up,yap,fix,practice,cluster,flock,hole_out,convention,blueprint,spore,pickle,approach_pattern,shape,traffic_pattern,figure,burble,rule,burp,gurgle,guggle,kettle_of_fish,holes,mess,cakehole,jam,form"
Venustraphobia,"fille,beautiful,char,peeress,lady,daughter,madam,bullying,cleaning_woman,charwoman,noblewoman,young_lady,missy,ma'am,female_child,miss,women,intimidation,dame,girl,young_woman,womanhood,determent,woman,fair_sex,little_girl,deterrence,girlfriend,lady_friend,cleaning_lady,adult_female,gentlewoman"
Verminophobia,"git,insects,louse,pests,infest,squealer,betrayer,rats,strikebreaker,stag,dirt_ball,insect,pest,mice,disease,shit,scum_bag,skunk,worm,fink,overrun,pestis,rat,stinker,betray,blackleg,plague,tell_on,mouse,puke,invade,shop,dirty_dog,stinkpot,informer,crumb,snitch,bum,scab,rotter,blabber,black_eye,computer_mouse,give_away,blighter,cuss,pesterer,so-and-so,gadfly,lowlife,shiner,grass,pestilence,denounce"
Wiccaphobia,"conjuration,witching,import,spells,magic,bewitch,while,tour,beldam,enchantress,magical_spell,conjuring_trick,spell,trance,supernatural,piece,crone,enchant,write,go,turn,jinx,hag,illusion,charming,witch,magic_spell,occult,wiccan,wizardly,sorcerous,legerdemain,magical,beldame,witchery,trick,deception,patch,hex,glamour,enchantment,charm,spell_out,thaumaturgy,magic_trick,witchcraft,wizard"
Xenophobia,"alien,unknown,racial_discrimination,foreigner,outsiders,outlander,noncitizen,racism,outsider,foreigners,strangers,stranger,racialism"
Zoophobia,"fleshly,favorite,darling,pets,carnal,sensual,wight,creature,favourite,animal,dearie,positron_emission_tomography,creatures,pet,puppet,brute,beast,ducky,tool,deary,animate_being,fauna,wildlife"
